iter,learning_rate,min_data_in_leaf,max_depth,lambda_l2,num_leaves,max_bin,test_score,test_log_loss,test_f1_score,test_rmse,current_best_test_score,current_best_test_log_loss,current_best_test_f1_score,current_best_test_rmse,fold,method,task_id,classification
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
0,0.1,20,-1,0,31,255,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0.6780551905387647,0.7255017896023102,0.6842783505154639,,0,default,361111,1
