iter,learning_rate,min_data_in_leaf,max_depth,lambda_l2,max_bin,bagging_fraction,feature_fraction,num_leaves,val_score,test_score,test_log_loss,test_f1_score,test_rmse,current_best_test_score,current_best_test_log_loss,current_best_test_f1_score,current_best_test_rmse,try_num_leaves,joint_tuning_depth_leaves,fold,method,task_id,classification
10,0.7672640724912183,1,10,0.0,255,0.5,1.0,1024,0.21113946735060674,0.8483365792738737,,,0.20580987611609733,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
11,1.0,1,1,0.0,10000,1.0,1.0,1024,0.34881117571264797,0.534205958023503,,,0.36068057406069326,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
12,0.8200952764179582,1,10,100.0,10000,1.0,0.5,1024,0.249584689603579,0.7776149341124436,,,0.24921753564504723,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
13,1.0,1,10,100.0,255,0.5,1.0,2,0.34766152638766384,0.5371274846740491,,,0.3595476748444334,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
14,0.7899059069857071,701,10,0.0,1185,0.5,0.5,1024,0.25976672087916086,0.7495989069175237,,,0.26445019881244863,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
15,0.6307934349551079,1,10,0.0,10000,1.0,1.0,1024,0.21543234830687022,0.8391805156075804,,,0.21193130889595913,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
16,0.9609039503346789,1,5,42.89905217628331,2597,0.7526147137397194,0.5,2,0.34721468333929123,0.5373236681954794,,,0.3594714715677826,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
17,0.7689999099494625,1,10,43.68114953149623,10000,1.0,1.0,702,0.2201213953864933,0.8255817385051141,,,0.22070987477234166,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
18,1.0,1,10,100.0,255,0.5640566718860492,1.0,795,0.22390160961990302,0.8133133035770277,,,0.22834025038953681,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
19,1.0,1,10,0.0,825,0.5,0.5,553,0.27526550788605597,0.7466116938035433,,,0.26602292961708623,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
20,0.7451770995939977,1,8,100.0,10000,1.0,1.0,937,0.23513127680440507,0.7983391111522963,,,0.23732124947921443,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
21,1.0,1,10,0.0,10000,1.0,1.0,1024,0.22826348991095902,0.8274295255504259,,,0.21953766170372757,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
22,0.7132099085526787,1,10,100.0,255,0.5,1.0,893,0.23642733156860207,0.7951693371908837,,,0.23917912504268274,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
23,0.9613585549212146,1,10,0.0,255,0.5,1.0,1024,0.2199541892622148,0.8317617811045086,,,0.21676448018368488,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
24,0.6584465431802697,1,8,0.0,255,0.5,1.0,725,0.21328960066160776,0.8431283484516509,,,0.20931387706009114,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
25,1.0,1000,10,100.0,255,0.5,1.0,1024,0.26891262668998783,0.7415451576391806,,,0.2686693498546219,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
26,0.7053693398747033,1,10,0.0,8467,0.5,1.0,812,0.21182323545830004,0.8453313234477228,,,0.20783896564865645,0.8483365792738737,,,0.20580987611609733,False,True,4,gp_bo,361102,0
27,0.8288598554848507,1,8,0.0,255,0.8674950442388931,1.0,842,0.20796135155356607,0.8515230993643395,,,0.20363631729082743,0.8515230993643395,,,0.20363631729082743,False,True,4,gp_bo,361102,0
28,0.5676686067927975,1,10,0.0,255,0.5721053600029188,1.0,2,0.3725824681465617,0.46633525915462093,,,0.3860646547760179,0.8515230993643395,,,0.20363631729082743,False,True,4,gp_bo,361102,0
29,0.8185262872259395,762,1,93.76990328217266,9230,0.8228018942497093,0.8758528732773865,10,0.3493297228776275,0.5305974547060011,,,0.3620749736632832,0.8515230993643395,,,0.20363631729082743,False,True,4,gp_bo,361102,0
30,0.73122625806159,1,8,0.0,255,1.0,1.0,967,0.20810558422678774,0.8513713126851574,,,0.20374037854443472,0.8515230993643395,,,0.20363631729082743,False,True,4,gp_bo,361102,0
31,1.0,1,7,100.0,255,0.5,1.0,968,0.23488264990519078,0.8031147460011371,,,0.2344943498267163,0.8515230993643395,,,0.20363631729082743,False,True,4,gp_bo,361102,0
32,0.5356477655448363,1,1,0.0,5331,0.9642876894807388,0.5,556,0.3776804619728794,0.4516822836052907,,,0.3913289042478093,0.8515230993643395,,,0.20363631729082743,False,True,4,gp_bo,361102,0
